"","codigo_renacyt","Investigador","Genero","URL_CTI_Vitae","grupo","nivel","Fecha_de_inicio_de_vigencia","fecha_fin_de_vigencia","Rango_de_Edad","reglamento"
"1","P0012678","BEZADA QUINTANA, SANDRA GRACIA","Femenino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=12678",NA,"V",2022-02-08,NA,"Entre 40 a 49 años","Reglamento 2021"
"2","P0011324","PORTUGAL POMA, CARLOS ENRIQUE","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=11324",NA,"VI",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"3","P0111232","ZUÑIGA VARGAS, CRISTOFHER","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=111232",NA,"VI",2022-02-08,NA,"Entre 30 a 39 años","Reglamento 2021"
"4","P0032880","FERNANDEZ SILVA, FRANK SYDNEY","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=32880",NA,"V",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"5","P0002308","RUIZ GARCIA, LUIS FELIPE","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=2308",NA,"IV",2022-02-08,NA,"Entre 40 a 49 años","Reglamento 2021"
"6","P0042719","OCHOA MOGOLLON, GLORIA MARIA","Femenino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=42719",NA,"VII",2022-02-09,NA,"Entre 50 a 59 años","Reglamento 2021"
"7","P0002962","CHAVARRI VELARDE, EDUARDO ABRAHAM","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=2962",NA,"VI",2022-02-09,NA,"Entre 50 a 59 años","Reglamento 2021"
"8","P0020776","VIVANCO SIERRALTA, LUIS BENIGNO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=20776",NA,"III",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"9","P0094865","VILLALTA PAUCAR, MARCO ANTONIO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=94865",NA,"III",2022-02-08,NA,"Entre 50 a 59 años","Reglamento 2021"
"10","P0065946","ALANIA CONTRERAS, RUBEN DARIO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=65946",NA,"VI",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"11","P0013572","DEL AGUILA PASQUEL, JHON","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=13572",NA,"II",2022-02-08,NA,"Entre 30 a 39 años","Reglamento 2021"
"12","P0035478","PALOMINO TAMAYO, JORGE LUIS","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=35478",NA,"IV",2022-02-08,NA,"Entre 40 a 49 años","Reglamento 2021"
"13","P0111069","DELGADO DEL AGUILA, JESUS MIGUEL","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=111069",NA,"VII",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"14","P0045913","CASAZOLA CRUZ, OSWALDO DANIEL","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=45913",NA,"VII",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"15","P0012225","MONTES VILLANUEVA, NILDA DORIS","Femenino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=12225",NA,"III",2022-02-08,NA,"Entre 50 a 59 años","Reglamento 2021"
"16","P0225129","CONCEPCION ZAVALETA, MARCIO JOSE","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=225129",NA,"VI",2022-02-10,NA,"Entre 20 a 29 años","Reglamento 2021"
"17","P0002309","SANDOVAL MONZON, ROCIO SILVIA","Femenino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=2309",NA,"III",2022-02-08,NA,"Entre 40 a 49 años","Reglamento 2021"
"18","P0001509","SANCHEZ CCOYLLO, ODON ROMAN","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=1509",NA,"II",2022-02-10,NA,"Entre 50 a 59 años","Reglamento 2021"
"19","P0023796","MATEUS BOREA, JULIO CESAR","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23796",NA,"V",2022-02-08,NA,"Entre 30 a 39 años","Reglamento 2021"
